CreatedDateTime,UserPrincipalName,IpAddress,AppDisplayName,ClientAppUsed,UserAgent,DeviceDetail.deviceId,CorrelationId,ResultType,Status.errorCode,Status.failureReason,Status.additionalDetails,RiskLevelAggregated,RiskState,RiskDetail,Location.countryOrRegion,Location.state,Location.city,ConditionalAccessStatus,AuthenticationRequirement,MfaDetail.authMethod,MfaDetail.authDetail,ResourceDisplayName,TenantId,UserId,SignInEventTypes,AppliedConditionalAccessPolicies,AuthenticationDetails,AuthenticationProtocol,AuthenticationProcessingDetails
2025-12-22T03:00:00Z,alice@evilcorp.com,83.45.12.33,Graph Explorer,POP3,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,,c27d8c54-986d-4ffc-871d-008c50e1545a,50074,50074,Account is locked.,MFARequired,none,none,none,ES,Catalonia,Barcelona,notApplied,singleFactorAuthentication,Authenticator,,Office 365 Exchange Online,5207105e-a4cf-4461-b072-b2a5b6c1cabf,8735ae1f-153c-4f7a-98a0-bf178cc1a9f1,interactiveUser,[],"[{""authenticationStepDateTime"": ""2026-01-08T09:29:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-07T04:29:00Z"", ""authenticationMethod"": ""Microsoft Authenticator"", ""authenticationMethodDetail"": ""OTP"", ""authenticationStepResultDetail"": ""MFA required but not satisfied"", ""succeeded"": true}]",WS-Fed,"[{""key"": ""LegacyTls"", ""value"": ""false""}]"
2025-12-16T04:16:00Z,alice@evilcorp.com,20.190.128.12,Microsoft 365 Admin Center,Exchange ActiveSync,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,8f678f18-601a-4539-978d-f937180c2c12,8284f56d-7c14-4553-a0e8-854aa7b9e840,0,0,,,medium,remediated,anonymousIPAddress,DE,Berlin,Berlin,failure,multiFactorAuthentication,FIDO2,Push,Microsoft Graph,fa9c952f-0cc0-45aa-b45d-0a935342f72d,d1a1348d-3fe6-42de-b0e0-349d234510b5,interactiveUser,"[{""id"": ""0e123d4b-f6eb-4d48-a51b-e53785d477bc"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-07T04:44:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",WS-Fed,"[{""key"": ""LegacyTls"", ""value"": ""false""}]"
2025-12-22T03:34:00Z,cfo@evilcorp.com,5.62.41.22,Microsoft Teams,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0,,1eb36a8c-48bb-427e-af3e-60d3f45562f1,0,0,,,none,none,none,US,Virginia,Ashburn,failure,multiFactorAuthentication,,,Office 365 Exchange Online,44ce0e3b-bb98-42de-a165-ce47f5e14e1c,21514b7d-7040-4364-a2c3-583ef85da9fb,interactiveUser,[],"[{""authenticationStepDateTime"": ""2026-01-07T15:57:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-07T21:28:00Z"", ""authenticationMethod"": ""Microsoft Authenticator"", ""authenticationMethodDetail"": ""Push"", ""authenticationStepResultDetail"": ""User did not respond"", ""succeeded"": false}]",SAML,"[{""key"": ""LegacyTls"", ""value"": ""true""}]"
2025-12-28T21:32:00Z,bob@evilcorp.com,185.199.110.42,Microsoft Teams,Other clients,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Outlook 16.0.17029; Pro),67a192d5-9004-4493-8c43-609dadf1a55a,93374b83-e7c2-4df7-b7c6-af3837257faf,0,0,,,none,none,none,ES,Catalonia,Barcelona,failure,singleFactorAuthentication,FIDO2,OTP,SharePoint,417d4204-bcec-4757-89fa-59fc58153da1,130750f2-6de3-4965-a37f-9a69f7a39b47,interactiveUser,"[{""id"": ""56b724ef-0165-4311-8446-b675486882c0"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa""], ""result"": ""success""}]","[{""authenticationStepDateTime"": ""2026-01-08T00:30:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",SAML,"[{""key"": ""LegacyTls"", ""value"": ""false""}]"
2025-12-27T10:41:00Z,cfo@evilcorp.com,83.45.12.34,Exchange Online,Browser,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,2927f1ae-020f-4b2d-a16c-28a60389aba4,9f6d007f-1381-4237-afd0-d2d380ea6d1d,50074,50074,Invalid username or password.,InvalidGrant,none,none,none,US,Virginia,Ashburn,success,singleFactorAuthentication,SMS,Push,Office 365 Exchange Online,d97e5b7b-96f9-432c-a62c-ad2300907bcd,d3cfae09-bf80-4a8e-8ad5-3007fbf62a0f,interactiveUser,"[{""id"": ""c90aa23f-40ba-4491-849e-cd5bf92a4023"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""mfa""], ""result"": ""failure""}, {""id"": ""47df4d52-59bf-4b0a-8388-60aa06fad579"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""compliantDevice""], ""result"": ""success""}]","[{""authenticationStepDateTime"": ""2026-01-10T05:29:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",WS-Fed,"[{""key"": ""LegacyTls"", ""value"": ""false""}]"
2025-12-16T15:07:00Z,it.admin@evilcorp.com,5.62.41.22,Microsoft 365 Admin Center,Other clients,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0,,0d2187a3-10e4-460c-9d59-512e96128f8e,0,0,,,none,none,none,US,Virginia,Ashburn,success,none,,,Office 365 Exchange Online,c4ca20a2-08bc-415a-b538-34de6ac09857,26bcb108-406d-4df3-b13a-195b58df6cbd,interactiveUser,"[{""id"": ""cb167bf8-dea8-4686-9d06-ba4fe01f3319"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""notApplied""}, {""id"": ""0eb56213-5758-48c9-ba72-67a1267ff0be"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""failure""}, {""id"": ""393d6885-53b1-4030-93be-120cda1e5b4b"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""compliantDevice""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-07T16:16:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",SAML,"[{""key"": ""LegacyTls"", ""value"": ""true""}]"
2025-12-23T01:41:00Z,it.admin@evilcorp.com,2.139.88.10,Graph Explorer,IMAP4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0,88059a15-0eb6-485c-9c31-94ca236b6cd1,e16aafb3-ddf9-4e1a-a9cf-88e175fefdd8,50076,50076,Invalid username or password.,MFARequired,low,confirmedSafe,impossibleTravel,DE,Berlin,Berlin,unknown,singleFactorAuthentication,,,Office 365 Exchange Online,fb56c823-39c1-4524-bace-36e7647e6011,79833423-ee77-4bd2-aa4f-6ca30f362180,interactiveUser,"[{""id"": ""e2acbbd7-2ee4-4c17-8c49-f2652d3458c0"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""mfa""], ""result"": ""success""}, {""id"": ""45e19023-6df5-40cf-83d2-a28184037f06"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""compliantDevice""], ""result"": ""notApplied""}]","[{""authenticationStepDateTime"": ""2026-01-08T02:34:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",WS-Fed,"[{""key"": ""LegacyTls"", ""value"": ""false""}]"
2025-12-12T19:32:00Z,it.admin@evilcorp.com,5.62.41.22,Graph Explorer,IMAP4,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Outlook 16.0.17029; Pro),,06c4d05c-5d4f-4cbd-9377-7ba92dae3ec2,50074,50074,Token issuer anomaly detected.,MFARequired,none,none,none,ES,Catalonia,Barcelona,unknown,singleFactorAuthentication,Authenticator,,Microsoft Graph,c25b5c3e-26a6-468b-adf5-82d0a6da12dc,e66afea6-a52b-457d-a733-32938899adf2,interactiveUser,"[{""id"": ""ece197d6-b531-4065-93b6-b81a823760af"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""compliantDevice""], ""result"": ""failure""}, {""id"": ""bb9c6d36-e74e-4384-bb3c-bb0ddd2e2e6c"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-10T10:42:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",WS-Fed,"[{""key"": ""LegacyTls"", ""value"": ""false""}]"
2025-12-23T19:03:00Z,alice@evilcorp.com,83.45.12.34,SharePoint Online,Other clients,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0,64b70185-ea77-4773-99ae-8f5a34795794,34f017bf-e8ca-423d-81f1-b6f32ea93555,50074,50074,User did not complete MFA.,StrongAuthenticationRequired,none,none,none,US,Virginia,Ashburn,success,singleFactorAuthentication,FIDO2,Security Key,Office 365 Exchange Online,e10fe090-a438-4c86-abe7-bc14f8d21d66,3addfbf1-0c06-4ccf-a7da-64d37dda5dab,interactiveUser,"[{""id"": ""46d98b97-6062-406b-b1a9-44e506f047be"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""mfa""], ""result"": ""notApplied""}]","[{""authenticationStepDateTime"": ""2026-01-09T18:26:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-09T10:52:00Z"", ""authenticationMethod"": ""FIDO2"", ""authenticationMethodDetail"": ""Push"", ""authenticationStepResultDetail"": ""User did not respond"", ""succeeded"": true}]",OAuth2.0,"[{""key"": ""LegacyTls"", ""value"": ""true""}]"
2025-12-29T21:44:00Z,alice@evilcorp.com,83.45.12.34,Graph Explorer,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0,,8e043ceb-f027-4c06-872d-90f726212681,50076,50076,Invalid username or password.,MFARequired,none,none,none,ES,Catalonia,Barcelona,success,none,FIDO2,,SharePoint,529c8420-dbf6-4dd8-9caa-53cbcff5ee86,99814462-cab9-46fb-84b2-573d5c4b14b5,interactiveUser,"[{""id"": ""b59d1cd8-0620-44d2-8207-66e7644a95c9"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa""], ""result"": ""success""}]","[{""authenticationStepDateTime"": ""2026-01-09T11:35:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-10T05:22:00Z"", ""authenticationMethod"": ""Microsoft Authenticator"", ""authenticationMethodDetail"": ""Push"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",WS-Fed,"[{""key"": ""LegacyTls"", ""value"": ""true""}]"
2025-12-14T15:31:00Z,it.admin@evilcorp.com,83.45.12.33,Microsoft Teams,Browser,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Outlook 16.0.17029; Pro),,48a4392d-d450-4e70-8a38-a9b3ad0fab9b,50074,50074,Invalid username or password.,StrongAuthenticationRequired,low,confirmedSafe,passwordSpray,FR,Île-de-France,Paris,failure,multiFactorAuthentication,Authenticator,Push,SharePoint,e3e6e53c-4443-4ed7-8aa0-3ce821628076,f97e6ea0-c543-4032-896c-f1925548de5d,interactiveUser,"[{""id"": ""2da9ba51-734e-403b-8bed-61b6dbe3aa73"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""mfa""], ""result"": ""notApplied""}]","[{""authenticationStepDateTime"": ""2026-01-09T21:40:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-07T22:12:00Z"", ""authenticationMethod"": ""Microsoft Authenticator"", ""authenticationMethodDetail"": ""Push"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",WS-Fed,"[{""key"": ""LegacyTls"", ""value"": ""true""}]"
2025-12-29T09:57:00Z,it.admin@evilcorp.com,104.26.12.88,Microsoft Teams,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0,,f66ba3f5-3021-4759-8141-31cbb55de99e,0,0,,,none,none,none,DE,Berlin,Berlin,failure,multiFactorAuthentication,FIDO2,OTP,Microsoft Graph,ab56066f-c886-4b7e-a956-6f3999246e9e,0ad87d52-0bde-481e-97a2-9bd949acd01d,interactiveUser,"[{""id"": ""dc8426be-9bcd-4bf3-9ff8-b3ab8a69ddbd"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa""], ""result"": ""notApplied""}]","[{""authenticationStepDateTime"": ""2026-01-07T03:33:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-07T18:36:00Z"", ""authenticationMethod"": ""FIDO2"", ""authenticationMethodDetail"": ""OTP"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": false}]",WS-Fed,"[{""key"": ""LegacyTls"", ""value"": ""false""}]"
